268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268669139877515264,4xci,tracking the eur usd  gbp usd  audusd  usdchf  usdjpy pairs: the price is breaking the 1.2750 support level and it  ,14/11/2012 10:58:09
268848869952077825,hansonbt,filled audusd small long 0362  support 0355  fairly tight stop.  helps balance my long xxxaud pairs,14/11/2012 22:52:20
268848869952077825,hansonbt,filled audusd small long 0362  support 0355  fairly tight stop.  helps balance my long xxxaud pairs,14/11/2012 22:52:20
268848869952077825,hansonbt,filled audusd small long 0362  support 0355  fairly tight stop.  helps balance my long xxxaud pairs,14/11/2012 22:52:20
268848869952077825,hansonbt,filled audusd small long 0362  support 0355  fairly tight stop.  helps balance my long xxxaud pairs,14/11/2012 22:52:20
268950315791941632,SwingTrader23,game maker set  and  forget forex trading system by james de wet for eur usd and usd chf pairs   ,15/11/2012 05:35:26
268995089001488384,actecapital,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as p...  $$,15/11/2012 08:33:21
268990980173205504,forex_lover,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as per ... ,15/11/2012 08:17:01
268990978394836992,drakoln,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as per ... ,15/11/2012 08:17:01
268989131957354496,10handles,spx is overdue for her period. usdx. is due. currency pairs and sector rotation do not reflect fear. spx intermediate cycle due.,15/11/2012 08:09:41
268995089001488384,actecapital,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as p...  $$,15/11/2012 08:33:21
268990980173205504,forex_lover,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as per ... ,15/11/2012 08:17:01
268990978394836992,drakoln,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as per ... ,15/11/2012 08:17:01
268989131957354496,10handles,spx is overdue for her period. usdx. is due. currency pairs and sector rotation do not reflect fear. spx intermediate cycle due.,15/11/2012 08:09:41
268995089001488384,actecapital,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as p...  $$,15/11/2012 08:33:21
268990980173205504,forex_lover,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as per ... ,15/11/2012 08:17:01
268990978394836992,drakoln,eurusd forecast for november 15: good morning everyone. yesterday  we had a few pairs from the market go as per ... ,15/11/2012 08:17:01
268989131957354496,10handles,spx is overdue for her period. usdx. is due. currency pairs and sector rotation do not reflect fear. spx intermediate cycle due.,15/11/2012 08:09:41
