2.77E+17,fxdayprofit,closed sell 0.25 lots $eurusd 1.30739 for  40.0 pips  total for today  51.0 pips,06/12/2012 13:58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2.9915E+17,DollarAlay,closed sell 1.0 lots eurusd 1.3511 for  5.0 pips  total for today  14.0 pips ,06/02/2013 13:37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2.78E+17,1Minute1Dollar,closed buy 0.02 lots eurusd 1.2933 for  8.0 pips  total for today  504.0 pips,11/12/2012 04:29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1
3.02802E+17,StockOperation,  nope i am not long. waiting patiently for eurusd to break the trend line.,16/02/2013 15:28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1
2.76E+17,NameSur71633099,closed sell limit eurusd 1.315 for 0.0 pips  total for today  63.0 pips,03/12/2012 19:47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2.99494E+17,GoldenAgeTrade,sold 0.01 lots $eurusd 1.35703,07/02/2013 12:24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1
2.96E+17,Onix_invest,closed buy 1.0 lots   eurusd 1.34827 for  0.8 pips  total for today  167.9 pips,29/01/2013 17:00,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1
2.89E+17,FunAndFinance,  : $eurusd    a test of this broken t l might be better for a possible short than last chart i tweeted  ,09/01/2013 13:10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1
2.99419E+17,ozangaziturk,   xr realisations on wednesday: eurusd: 1.350   1.358  usdtry: 1.759   1.769  eu: 2.382   2.393  baskettry: 2.074   2.081.,07/02/2013 07:26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
2.96621E+17,IKTrustIndo,  forex: usd steady even as 4q gdp contracts  fomc meeting in focus: the eurusd continued to gain ground ah... ,30/01/2013 14:08,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
