1.3613,06/02/2014 15:09:02, 
1.3611,06/02/2014 15:10:26, 
1.3611,06/02/2014 15:11:02, 
1.3613,06/02/2014 15:12:02, 
1.3612,06/02/2014 15:14:43, 
1.3612,06/02/2014 15:15:01, 
1.3612,06/02/2014 15:15:05, 
1.3612,06/02/2014 15:16:25, 
1.3611,06/02/2014 15:17:30, 
1.3611,06/02/2014 15:18:02, 
1.3611,06/02/2014 15:19:02, 
1.3608,06/02/2014 15:20:07, 
1.3604,06/02/2014 15:21:02, 
1.3604,06/02/2014 15:22:02, 
1.3604,06/02/2014 15:23:02, 
1.3604,06/02/2014 15:24:06, 
1.3605,06/02/2014 15:25:05, 
1.3603,06/02/2014 15:27:02, 
1.3604,06/02/2014 15:28:05, 
1.3604,06/02/2014 15:29:01, 
1.3605,06/02/2014 15:30:02, 
1.3604,06/02/2014 15:31:02, 
1.3604,06/02/2014 15:32:02, 
1.3604,06/02/2014 15:33:02, 
1.3605,06/02/2014 15:34:01, 
1.3604,06/02/2014 15:35:16, 
1.3602,06/02/2014 15:36:22, 
1.3603,06/02/2014 15:37:02, 
1.3602,06/02/2014 15:38:02, 
1.3602,06/02/2014 15:39:05, 
1.3602,06/02/2014 15:40:02, 
1.3602,06/02/2014 15:41:02, 
1.3602,06/02/2014 15:42:01, 
1.36,06/02/2014 15:43:02, 
1.3599,06/02/2014 15:44:02, 
1.3599,06/02/2014 15:45:07, 
1.3599,06/02/2014 15:46:01, 
1.3599,06/02/2014 15:47:43, 
1.3598,06/02/2014 15:48:05, 
1.36,06/02/2014 15:49:23, 
1.3602,06/02/2014 15:50:02, 
1.36,06/02/2014 15:51:02, 
1.36,06/02/2014 15:52:05, 
1.3602,06/02/2014 15:53:02, 
1.3604,06/02/2014 15:54:01, 
1.3604,06/02/2014 15:55:17, 
1.36,06/02/2014 15:56:02, 
1.36,06/02/2014 15:57:23, 
1.3601,06/02/2014 15:58:02, 
1.3601,06/02/2014 15:59:02, 
1.3602,06/02/2014 16:00:02, 
1.3602,06/02/2014 16:01:02, 
1.3602,06/02/2014 16:02:02, 
1.36,06/02/2014 16:03:02, 
1.3599,06/02/2014 16:04:01, 
1.3599,06/02/2014 16:05:02, 
1.3601,06/02/2014 16:06:12, 
1.3601,06/02/2014 16:07:02, 
1.3601,06/02/2014 16:08:02, 
1.3601,06/02/2014 16:09:02, 
1.3602,06/02/2014 16:10:09, 
1.3603,06/02/2014 16:11:01, 
1.3599,06/02/2014 16:12:05, 
1.3599,06/02/2014 16:13:05, 
1.3599,06/02/2014 16:14:02, 
1.36,06/02/2014 16:15:09, 
1.36,06/02/2014 16:16:23, 
1.36,06/02/2014 16:17:04, 
1.3598,06/02/2014 16:18:02, 
