3.04E+17,James4xCoach,closed sell 1.0 lots usdjpy 93.673 for  6.9 pips  total for today  40.3 pips,19/02/2013 23:47:00,1
3.04E+17,Masa015,closed buy limit 0.15 lots $usdjpy 92.95 for 0.0 pips  total for today 0.0 pips,19/02/2013 23:44:00,-1
3.04E+17,lucahk,closed sell 0.25 lots usdjpy 93.772 for  1.4 pips  total for today  1.4 pips,19/02/2013 23:38:00,1
3.04E+17,lucahk,closed sell 0.01 lots usdjpy 93.772 for  1.4 pips  total for today  2.8 pips,19/02/2013 23:38:00,1
3.04E+17,lucahk,closed sell 0.25 lots usdjpy 93.746 for  3.0 pips  total for today  4.2 pips,19/02/2013 23:38:00,1
3.04E+17,lucahk,closed sell 0.01 lots usdjpy 93.74 for  3.0 pips  total for today  1.2 pips,19/02/2013 23:38:00,1
3.04E+17,lucahk,closed sell 0.01 lots usdjpy 93.769 for  0.9 pips  total for today  1.8 pips,19/02/2013 23:38:00,1
3.04E+17,FXTraderUpdates,   $usdjpy sentiment bullish based on analysis of 94 articles and reports. visit   ,19/02/2013 23:35:00,1
3.04E+17,Wahab_Forex,closed sell usdjpy 93.55 for  22.0 pips  total for today  22.0 pips,19/02/2013 23:34:00,1
3.04E+17,SignalTradersUK,closed sell 0.24 lots usdjpy 93.33 for  41.0 pips  total for today  27.0 pips,19/02/2013 23:34:00,1
3.04E+17,SignalTradersUK,closed sell 0.06 lots usdjpy 93.82 for  14.0 pips  total for today  14.0 pips,19/02/2013 23:34:00,1
3.04E+17,forexpro13,  : closed buy 0.01 lots by terascal usdjpy 93.813 for  9.8 pips  total for today  74.5 pips,19/02/2013 23:33:00,-1
3.04E+17,forexpro13,  : closed buy 0.01 lots by terascal usdjpy 93.992 for  29.2 pips  total for today  45.3 pips,19/02/2013 23:33:00,-1
3.04E+17,Masa015,closed sell 0.1 lots $usdjpy 93.63 for  20.0 pips  total for today  20.0 pips,19/02/2013 23:32:00,1
3.04E+17,forex_bot1,closed buy 0.01 lots by terascal usdjpy 93.992 for  29.2 pips  total for today  45.3 pips,19/02/2013 23:31:00,-1
3.04E+17,forex_bot1,closed buy 0.01 lots by terascal usdjpy 93.813 for  9.8 pips  total for today  74.5 pips,19/02/2013 23:31:00,-1
3.04E+17,forex_bot1,closed buy 0.01 lots by terascal usdjpy 93.636 for  10.4 pips  total for today  84.3 pips,19/02/2013 23:31:00,-1
3.04E+17,forex_bot1,closed buy 0.01 lots by terascal usdjpy 93.477 for  27.5 pips  total for today  73.9 pips,19/02/2013 23:31:00,-1
3.04E+17,forex_bot1,closed buy 0.01 lots by terascal usdjpy 93.311 for  46.4 pips  total for today  46.4 pips,19/02/2013 23:31:00,-1
3.04E+17,MCrollman,closed sell 100000.0 lots $usdjpy 93.63 for  9.2 pips  total for today  9.8 pips,19/02/2013 23:31:00,1
3.04E+17,dfied,closed buy usdjpy 93.72 for 0.0 pips  total for today  274.0 pips,19/02/2013 23:29:00,-1
3.04E+17,dfied,closed buy usdjpy 93.61 for 0.0 pips  total for today  274.0 pips,19/02/2013 23:29:00,-1
3.04E+17,MakeFxMoney,closed buy limit $usdjpy 92.95 for 0.0 pips  total for today  113.7 pips,19/02/2013 23:26:00,-1
3.04E+17,MakeFxMoney,closed buy limit $usdjpy 92.9 for 0.0 pips  total for today  113.7 pips,19/02/2013 23:26:00,-1
3.04E+17,MakeFxMoney,closed buy limit $usdjpy 92.85 for 0.0 pips  total for today  113.7 pips,19/02/2013 23:26:00,-1
3.04E+17,FXTraderUpdates,   long future entry for the double bollinger bands entry is setting up. $usdjpy ,19/02/2013 23:22:00,1
3.04E+17,FXstreetNews, : $usdjpy finds buyers above 93.30 ,19/02/2013 23:18:00,0
3.04E+17,unique4x,  : eurusd moves well to 1.3420  audusd eases back to 1.0350  gbpusd rallies a little to 1.5440  usdjpy moves to 93.70  gold at 1606,20/02/2013 00:44:00,0
3.04E+17,FX_Haresh,  usdjpy   technical outlook   news reports on friday that members of 20 industrial and developing countries  g... ,20/02/2013 00:39:00,0
3.04E+17,afx1991,closed buy 0.01 lots usdjpy 93.547 for  18.2 pips  total for today  18.2 pips,20/02/2013 00:38:00,-1
3.04E+17,afx1991,closed buy 0.02 lots usdjpy 93.915 for  31.5 pips  total for today  31.5 pips,20/02/2013 00:38:00,-1
3.04E+17,afx1991,closed buy 0.01 lots usdjpy 93.771 for  15.5 pips  total for today  15.5 pips,20/02/2013 00:38:00,-1
3.04E+17,AtlasMarket,forex flash: prudently buying usd jpy on the 90 handle   societe generale   nasdaq  $usdjpy,20/02/2013 00:38:00,1
